image1,image2,verified,distance,threshold,model,detector_backend,similarity_metric,facial_areas_img1,facial_areas_img2,time,error,image1_name,Path,Dataset name,Image name,Age,Gender,Race,Emotion,Backend,Notes
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Benazir_Bhutto\Benazir_Bhutto_0003.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Benazir_Bhutto\Benazir_Bhutto_0005.jpg,True,0.6557939426084285,0.68,VGG-Face,opencv,cosine,,,,,Benazir_Bhutto_0003.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Queen_Rania\Queen_Rania_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Queen_Rania\Queen_Rania_0003.jpg,False,0.8388037131674806,0.68,VGG-Face,opencv,cosine,,,,,Queen_Rania_0001.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0010.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0032.jpg,True,0.4815446798137335,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0010.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0019.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0053.jpg,True,0.6418333511885763,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0019.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0024.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0035.jpg,True,0.6403618079047989,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0024.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0003.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0020.jpg,True,0.5967510239260825,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0003.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Martina_Hingis\Martina_Hingis_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Martina_Hingis\Martina_Hingis_0003.jpg,True,0.3979062896827872,0.68,VGG-Face,opencv,cosine,,,,,Martina_Hingis_0002.jpg,g,DeepFace,Martina_Hingis_0002.jpg,30.0,Woman,white,neutral,opencv,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0032.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0044.jpg,True,0.2656116279433769,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0032.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0005.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0029.jpg,True,0.5545029419817535,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0005.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0023.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0042.jpg,False,0.9102939919432026,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0023.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0047.jpg,True,0.6125536711509167,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0001.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0009.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0017.jpg,True,0.6043609399016114,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0009.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0013.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0034.jpg,True,0.6318425053860846,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0013.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0035.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0042.jpg,True,0.6252426042093673,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0035.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0030.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0031.jpg,True,0.2617108553817713,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0030.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Edmund_Stoiber\Edmund_Stoiber_0004.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Edmund_Stoiber\Edmund_Stoiber_0007.jpg,True,0.3772143540018855,0.68,VGG-Face,opencv,cosine,,,,,Edmund_Stoiber_0004.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0025.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0038.jpg,True,0.3989788557612441,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0025.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0005.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0010.jpg,True,0.6484618221592788,0.68,VGG-Face,opencv,cosine,,,,,Angelina_Jolie_0005.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0011.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0032.jpg,True,0.32538370205642,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0011.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0015.jpg,True,0.5944495023697243,0.68,VGG-Face,opencv,cosine,,,,,Angelina_Jolie_0001.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0006.jpg,False,0.8482050665862475,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0001.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0003.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0036.jpg,False,0.6881428549419045,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0003.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0048.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0050.jpg,False,0.6955428504021138,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0048.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0014.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0019.jpg,True,0.4175978018275447,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0014.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0031.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0042.jpg,True,0.5630231252357408,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0031.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0009.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0016.jpg,True,0.5255172102527107,0.68,VGG-Face,opencv,cosine,,,,,Angelina_Jolie_0009.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0010.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0031.jpg,True,0.3263705717733409,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0010.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0035.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0043.jpg,True,0.4864361208663172,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0035.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0003.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0041.jpg,True,0.4610664694967895,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0003.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0004.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0005.jpg,True,0.5472334356316295,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0004.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0018.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0027.jpg,True,0.3742093994931874,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0018.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0038.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0045.jpg,True,0.4475303763822658,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0038.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0026.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0048.jpg,True,0.526443112272156,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0026.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0015.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0018.jpg,False,0.7534967463317538,0.68,VGG-Face,opencv,cosine,,,,,Angelina_Jolie_0015.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0029.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0034.jpg,True,0.4406075757850022,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0029.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0009.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0031.jpg,False,0.6836839038714104,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0009.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0033.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0037.jpg,True,0.5834680908269902,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0033.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0031.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0032.jpg,True,0.5734754619720165,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0031.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0004.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0041.jpg,True,0.4236048915820138,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0004.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0025.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0031.jpg,False,0.7467364361099031,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0025.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0007.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0010.jpg,True,0.6282726860384498,0.68,VGG-Face,opencv,cosine,,,,,Angelina_Jolie_0007.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Alexander_Losyukov\Alexander_Losyukov_0003.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Alexander_Losyukov\Alexander_Losyukov_0004.jpg,False,0.8013355707115081,0.68,VGG-Face,opencv,cosine,,,,,Alexander_Losyukov_0003.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0029.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0039.jpg,True,0.564611735426441,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0029.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0004.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0025.jpg,False,0.7095396610882423,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0004.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0006.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0017.jpg,False,0.8864781983765696,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0006.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0046.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0054.jpg,True,0.6458510931204628,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0046.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0021.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0025.jpg,False,0.740723426758525,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0021.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0035.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0044.jpg,True,0.6509910919047301,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0035.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Andrei_Mikhnevich\Andrei_Mikhnevich_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Andrei_Mikhnevich\Andrei_Mikhnevich_0002.jpg,True,0.324735945720125,0.68,VGG-Face,opencv,cosine,,,,,Andrei_Mikhnevich_0001.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0010.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0020.jpg,True,0.4924833839331916,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0010.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Catherine_Deneuve\Catherine_Deneuve_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Catherine_Deneuve\Catherine_Deneuve_0005.jpg,True,0.3461333285929441,0.68,VGG-Face,opencv,cosine,,,,,Catherine_Deneuve_0002.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0017.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0027.jpg,True,0.5794840582597942,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0017.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0025.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0037.jpg,False,0.7294091801339623,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0025.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0024.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0037.jpg,True,0.6131981324134208,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0024.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0005.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0044.jpg,True,0.3843993792892807,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0005.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0029.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0034.jpg,True,0.319181354801467,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0029.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\John_Abizaid\John_Abizaid_0006.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\John_Abizaid\John_Abizaid_0009.jpg,True,0.597830807704234,0.68,VGG-Face,opencv,cosine,,,,,John_Abizaid_0006.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0020.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0029.jpg,True,0.507951434796272,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0020.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0037.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0040.jpg,True,0.5215639988774952,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0037.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0013.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0055.jpg,True,0.6396657938714145,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0013.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0023.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0036.jpg,True,0.641428573163024,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0023.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0014.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0020.jpg,True,0.5187349472586312,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0014.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0034.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0037.jpg,True,0.5094403785541477,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0034.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0009.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0021.jpg,False,0.6977425274794502,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0009.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0017.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0032.jpg,True,0.5869480732254599,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0017.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0007.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0021.jpg,True,0.5196642638982807,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0007.jpg,,,,,,,,,
