image1,image2,verified,distance,threshold,model,detector_backend,similarity_metric,facial_areas_img1,facial_areas_img2,time,error,image1_name,path,dataset_name,image_name,face_name_align,race7,race4,gender,age_group,race_scores_fair_7,race_scores_fair_4,gender_scores_fair,age_scores_fair
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Benazir_Bhutto\Benazir_Bhutto_0003.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Benazir_Bhutto\Benazir_Bhutto_0005.jpg,True,0.6557939426084285,0.68,VGG-Face,opencv,cosine,,,,,Benazir_Bhutto_0003.jpg,lfw_all_subset_photos\Benazir_Bhutto_0003.jpg,lfw_all_subset_photos,Benazir_Bhutto_0003.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Benazir_Bhutto_0003.jpg,East Asian,Asian,Male,3-9,"[0.03561587 0.01631397 0.03751396 0.5534936  0.34504357 0.00199232
 0.01002665]",[1.6762831e-03 7.6897517e-03 9.9014187e-01 4.9208530e-04],[0.9389555 0.0610445],"[2.0250535e-02 4.4646531e-01 1.9055551e-01 2.9015428e-01 4.6006110e-02
 5.5587753e-03 5.7938474e-04 2.6499404e-04 1.6509622e-04]"
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Queen_Rania\Queen_Rania_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Queen_Rania\Queen_Rania_0003.jpg,False,0.8388037131674806,0.68,VGG-Face,opencv,cosine,,,,,Queen_Rania_0001.jpg,lfw_all_subset_photos\Queen_Rania_0001.jpg,lfw_all_subset_photos,Queen_Rania_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Queen_Rania_0001.jpg,East Asian,Asian,Female,20-29,"[0.05586204 0.03161217 0.05997929 0.59991896 0.23672566 0.00740319
 0.00849877]",[0.00775775 0.01296917 0.95375794 0.02551516],[0.21270871 0.7872913 ],"[5.6978158e-04 1.7422901e-02 1.1748449e-01 7.4576098e-01 1.0404439e-01
 1.2619363e-02 1.0784942e-03 6.6546054e-04 3.5409682e-04]"
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0010.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0032.jpg,True,0.4815446798137335,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0010.jpg,lfw_all_subset_photos\Vladimir_Putin_0010.jpg,lfw_all_subset_photos,Vladimir_Putin_0010.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Vladimir_Putin_0010.jpg,Southeast Asian,Asian,Male,60-69,"[0.01609029 0.19100079 0.12798434 0.20437728 0.3611595  0.0634067
 0.035981  ]",[0.00923389 0.04518022 0.9256647  0.01992116],[0.96290284 0.03709716],"[0.00166777 0.02945184 0.11774525 0.09506993 0.13255854 0.17973772
 0.15497358 0.20282137 0.0859741 ]"
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0019.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0053.jpg,True,0.6418333511885763,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0019.jpg,lfw_all_subset_photos\Jean_Chretien_0019.jpg,lfw_all_subset_photos,Jean_Chretien_0019.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Jean_Chretien_0019.jpg,East Asian,Asian,Male,20-29,"[4.4422679e-02 1.3569156e-02 1.5386669e-02 8.6983854e-01 4.4198614e-02
 1.4504885e-04 1.2439313e-02]",[0.01589704 0.06939205 0.9135024  0.00120845],[0.72304976 0.27695024],"[0.00124778 0.01298149 0.06296687 0.4252512  0.21576488 0.14749612
 0.06610519 0.04556051 0.022626  ]"
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0024.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0035.jpg,True,0.6403618079047989,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0024.jpg,lfw_all_subset_photos\Vladimir_Putin_0024.jpg,lfw_all_subset_photos,Vladimir_Putin_0024.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Vladimir_Putin_0024.jpg,East Asian,Asian,Male,40-49,"[0.01995726 0.09483216 0.06313512 0.6639522  0.13467366 0.00365811
 0.0197916 ]",[0.00247368 0.10013036 0.890939   0.00645692],[0.9538333  0.04616673],"[0.00544735 0.05381763 0.13480291 0.09246764 0.1339479  0.19713211
 0.16394842 0.15789244 0.06054362]"
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0003.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0020.jpg,True,0.5967510239260825,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0003.jpg,lfw_all_subset_photos\Jean_Chretien_0003.jpg,lfw_all_subset_photos,Jean_Chretien_0003.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Jean_Chretien_0003.jpg,East Asian,Asian,Male,60-69,"[0.02709402 0.00889454 0.03059016 0.74882656 0.1419238  0.00254866
 0.04012221]",[0.03154052 0.05110342 0.9130987  0.00425735],[0.92449605 0.07550395],"[0.00128436 0.0032461  0.00443233 0.01535114 0.02597808 0.06582937
 0.14559665 0.40525407 0.33302793]"
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Martina_Hingis\Martina_Hingis_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Martina_Hingis\Martina_Hingis_0003.jpg,True,0.3979062896827872,0.68,VGG-Face,opencv,cosine,,,,,Martina_Hingis_0002.jpg,lfw_all_subset_photos\Martina_Hingis_0002.jpg,lfw_all_subset_photos,Martina_Hingis_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Martina_Hingis_0002.jpg,East Asian,Asian,Male,20-29,"[0.05303098 0.00148893 0.04051695 0.5805296  0.16096114 0.01169648
 0.15177603]",[0.0126424 0.0365798 0.9153393 0.0354385],[0.83885694 0.16114308],"[4.3330160e-03 1.7057894e-01 1.8163082e-01 4.5468432e-01 1.5823038e-01
 2.7139822e-02 2.2453477e-03 8.5507869e-04 3.0225652e-04]"
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0032.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0044.jpg,True,0.2656116279433769,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0032.jpg,lfw_all_subset_photos\Jean_Chretien_0032.jpg,lfw_all_subset_photos,Jean_Chretien_0032.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Jean_Chretien_0032.jpg,East Asian,Asian,Male,50-59,"[0.04363239 0.03830698 0.03687249 0.6738438  0.17768948 0.00322947
 0.02642538]",[0.00274598 0.01495026 0.9780001  0.00430371],[0.9854549  0.01454504],"[0.00636438 0.012484   0.02853463 0.12724447 0.17105289 0.2021275
 0.20375673 0.18122135 0.06721397]"
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0005.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0029.jpg,True,0.5545029419817535,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0005.jpg,lfw_all_subset_photos\Vladimir_Putin_0005.jpg,lfw_all_subset_photos,Vladimir_Putin_0005.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Vladimir_Putin_0005.jpg,East Asian,Asian,Male,30-39,"[1.1800747e-02 1.6794557e-02 5.7381969e-02 7.3975646e-01 1.7292145e-01
 2.6861130e-04 1.0762550e-03]",[1.8597977e-03 1.4803099e-02 9.8281699e-01 5.2014261e-04],[0.9892351  0.01076489],"[2.53068894e-04 2.39807889e-02 1.08955234e-01 1.65491909e-01
 2.94367582e-01 2.06143752e-01 1.02943137e-01 7.51661062e-02
 2.26985347e-02]"
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0023.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0042.jpg,False,0.9102939919432026,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0023.jpg,lfw_all_subset_photos\Jean_Chretien_0023.jpg,lfw_all_subset_photos,Jean_Chretien_0023.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Jean_Chretien_0023.jpg,East Asian,Asian,Male,60-69,"[0.03101511 0.01654322 0.01372506 0.8193219  0.11507364 0.00095991
 0.00336127]",[0.00808275 0.18110381 0.8082303  0.00258311],[0.93311054 0.06688949],"[0.00074372 0.00521266 0.00965369 0.03285002 0.03977052 0.0755203
 0.14876546 0.41984263 0.267641  ]"
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0047.jpg,True,0.6125536711509167,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0001.jpg,lfw_all_subset_photos\Jean_Chretien_0001.jpg,lfw_all_subset_photos,Jean_Chretien_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Jean_Chretien_0001.jpg,East Asian,Asian,Male,40-49,"[0.02406278 0.00779769 0.03079518 0.67895925 0.25573117 0.00095718
 0.00169681]",[0.01450842 0.01187164 0.9623679  0.01125212],[0.9317203  0.06827967],"[2.0953846e-04 1.8061862e-03 1.1717089e-02 1.0539084e-01 1.9363548e-01
 2.8195056e-01 2.0334636e-01 1.5448333e-01 4.7460712e-02]"
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0009.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0017.jpg,True,0.6043609399016114,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0009.jpg,lfw_all_subset_photos\Vladimir_Putin_0009.jpg,lfw_all_subset_photos,Vladimir_Putin_0009.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Vladimir_Putin_0009.jpg,East Asian,Asian,Male,40-49,"[0.03012938 0.03752745 0.03507058 0.4598948  0.39360458 0.00859202
 0.03518122]",[0.00404749 0.0587239  0.92848593 0.00874268],[0.77203834 0.2279617 ],"[0.00131177 0.01174707 0.05886513 0.14823245 0.183894   0.22126661
 0.18063453 0.14361224 0.05043625]"
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0013.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0034.jpg,True,0.6318425053860846,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0013.jpg,lfw_all_subset_photos\Jean_Chretien_0013.jpg,lfw_all_subset_photos,Jean_Chretien_0013.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Jean_Chretien_0013.jpg,Southeast Asian,Asian,Male,3-9,"[0.02635172 0.07857662 0.1409826  0.28858346 0.43190634 0.02164441
 0.01195487]",[0.00535497 0.01166716 0.9519646  0.03101322],[0.9885409  0.01145909],"[0.1999289  0.27219912 0.01330741 0.03123182 0.06060348 0.08776116
 0.08078367 0.13418315 0.12000132]"
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0035.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0042.jpg,True,0.6252426042093673,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0035.jpg,lfw_all_subset_photos\Vladimir_Putin_0035.jpg,lfw_all_subset_photos,Vladimir_Putin_0035.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Vladimir_Putin_0035.jpg,Southeast Asian,Asian,Male,60-69,"[0.01566886 0.02560898 0.05826497 0.44456154 0.4468685  0.0055921
 0.00343503]",[5.8136275e-04 8.0418522e-03 9.9014199e-01 1.2348066e-03],[0.9906235  0.00937652],"[0.00137737 0.0256619  0.03568147 0.03086792 0.08549298 0.13743646
 0.20834419 0.3376336  0.13750404]"
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0030.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0031.jpg,True,0.2617108553817713,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0030.jpg,lfw_all_subset_photos\Jean_Chretien_0030.jpg,lfw_all_subset_photos,Jean_Chretien_0030.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Jean_Chretien_0030.jpg,East Asian,Asian,Male,50-59,"[0.04931384 0.0040943  0.01706002 0.8151674  0.09850651 0.0011543
 0.01470357]",[0.01480861 0.06073551 0.9141685  0.01028743],[0.9982927  0.00170728],"[0.00053343 0.00086508 0.00236002 0.03225615 0.11768018 0.24898969
 0.30477837 0.25978383 0.03275331]"
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Edmund_Stoiber\Edmund_Stoiber_0004.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Edmund_Stoiber\Edmund_Stoiber_0007.jpg,True,0.3772143540018855,0.68,VGG-Face,opencv,cosine,,,,,Edmund_Stoiber_0004.jpg,lfw_all_subset_photos\Edmund_Stoiber_0004.jpg,lfw_all_subset_photos,Edmund_Stoiber_0004.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Edmund_Stoiber_0004.jpg,Black,Asian,Male,60-69,"[0.06399857 0.421349   0.07493122 0.30230874 0.13224092 0.00209286
 0.00307865]",[0.01486926 0.3335984  0.6373518  0.0141805 ],[0.9984065  0.00159341],"[0.00071097 0.00420946 0.00333023 0.00199852 0.01026562 0.05947694
 0.22145624 0.3915391  0.30701292]"
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0025.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0038.jpg,True,0.3989788557612441,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0025.jpg,lfw_all_subset_photos\Vladimir_Putin_0025.jpg,lfw_all_subset_photos,Vladimir_Putin_0025.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Vladimir_Putin_0025.jpg,East Asian,Asian,Male,30-39,"[0.00648727 0.10879876 0.05746141 0.5411053  0.26603773 0.0010863
 0.0190232 ]",[5.8746699e-04 6.0224239e-02 9.3711644e-01 2.0718409e-03],[0.96244067 0.03755939],"[0.00137511 0.02836103 0.12515396 0.29250875 0.32596388 0.16031873
 0.04298057 0.01832842 0.00500952]"
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0005.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0010.jpg,True,0.6484618221592788,0.68,VGG-Face,opencv,cosine,,,,,Angelina_Jolie_0005.jpg,lfw_all_subset_photos\Angelina_Jolie_0005.jpg,lfw_all_subset_photos,Angelina_Jolie_0005.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Angelina_Jolie_0005.jpg,Southeast Asian,Asian,Male,10-19,"[0.01693362 0.09580838 0.18080574 0.25994903 0.33400443 0.05981066
 0.0526881 ]",[5.9284456e-04 4.6284191e-02 9.5073807e-01 2.3849276e-03],[0.7307742  0.26922572],"[5.8698677e-04 1.6790734e-01 6.1643034e-01 8.5362986e-02 6.4300835e-02
 3.4178857e-02 1.1588707e-02 1.2458964e-02 7.1849660e-03]"
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0011.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0032.jpg,True,0.32538370205642,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0011.jpg,lfw_all_subset_photos\Jean_Chretien_0011.jpg,lfw_all_subset_photos,Jean_Chretien_0011.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Jean_Chretien_0011.jpg,East Asian,Asian,Male,60-69,"[0.01046431 0.01238426 0.02479204 0.80313826 0.14540514 0.0018196
 0.00199649]",[0.00360266 0.04589265 0.9422608  0.00824388],[0.99773943 0.0022606 ],"[1.7647048e-04 2.0477525e-03 2.2170730e-02 5.6803718e-02 9.6974015e-02
 2.1160953e-01 2.6856950e-01 2.8273875e-01 5.8909617e-02]"
