image1,image2
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0006.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0007.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0008.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0009.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0010.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0011.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0012.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0013.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0014.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0015.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0016.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0017.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0018.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0019.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0020.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0003.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0004.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0005.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0006.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0007.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0008.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0009.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0010.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0011.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0012.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0013.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0014.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0015.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0016.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0017.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0018.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0019.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0020.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0003.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0004.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0003.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0005.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0003.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0006.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0003.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0007.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0003.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0008.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0003.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0009.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0003.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0010.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0003.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0011.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0003.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0012.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0003.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0013.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0003.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0014.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0003.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0015.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0003.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0016.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0003.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0017.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0003.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0018.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0003.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0019.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0003.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0020.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0004.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0005.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0004.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0006.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0004.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0007.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0004.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0008.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0004.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0009.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0004.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0010.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0004.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0011.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0004.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0012.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0004.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0013.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0004.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0014.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0004.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0015.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0004.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0016.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0004.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0017.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0004.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0018.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0004.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0019.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0004.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0020.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0005.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0006.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0005.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0007.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0005.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0008.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0005.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0009.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0005.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0010.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0005.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0011.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0005.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0012.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0005.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0013.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0005.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0014.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0005.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0015.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0005.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0016.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0005.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0017.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0005.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0018.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0005.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0019.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0005.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0020.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0006.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0007.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0006.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0008.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0006.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0009.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0006.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0010.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0006.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0011.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0006.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0012.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0006.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0013.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0006.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0014.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0006.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0015.jpg
