Image Path,Identity,Target_X,Target_Y,Target_W,Target_H,Source_X,Source_Y,Source_W,Source_H,VGG-Face_cosine,Notes
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0004.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0004.jpg,69,65,118,118,69,65,118,118,0.0,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0004.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Alvaro_Uribe_0004.jpg,65,66,119,119,69,65,118,118,0.6073817384418979,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0004.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Alvaro_Uribe_0001.jpg,68,68,113,113,69,65,118,118,0.6158299305651362,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0004.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Geno_Auriemma_0001.jpg,55,60,134,134,69,65,118,118,0.6223003586278564,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0004.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Alvaro_Uribe_0025.jpg,69,69,113,113,69,65,118,118,0.6472021936482064,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0004.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Alvaro_Uribe_0024.jpg,67,66,122,122,69,65,118,118,0.6510101362039086,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0004.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Alvaro_Uribe_0006.jpg,69,66,113,113,69,65,118,118,0.6538181700825842,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0004.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Alvaro_Uribe_0015.jpg,68,67,115,115,69,65,118,118,0.6631121962224098,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0004.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Alvaro_Uribe_0032.jpg,70,68,111,111,69,65,118,118,0.6649806144577065,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0004.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Alvaro_Uribe_0026.jpg,68,68,113,113,69,65,118,118,0.6681214920702961,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0004.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Alvaro_Uribe_0021.jpg,66,66,119,119,69,65,118,118,0.6696256756706243,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0004.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Alvaro_Uribe_0011.jpg,74,72,105,105,69,65,118,118,0.6744632521960607,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0004.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Alvaro_Uribe_0007.jpg,69,68,113,113,69,65,118,118,0.6747558004630103,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0004.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Alvaro_Uribe_0014.jpg,67,68,114,114,69,65,118,118,0.675292641829831,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0004.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Alvaro_Uribe_0019.jpg,69,69,114,114,69,65,118,118,0.6777324943725265,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0004.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Alvaro_Uribe_0009.jpg,70,68,115,115,69,65,118,118,0.6790107065304893,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aldo_Paredes_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aldo_Paredes_0001.jpg,70,69,113,113,70,69,113,113,1.1102230246251565e-16,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aldo_Paredes_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Yevgeny_Kafelnikov_0001.jpg,68,71,110,110,70,69,113,113,0.5811695381723891,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aldo_Paredes_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Jim_OBrien_0002.jpg,69,68,113,113,70,69,113,113,0.6607623939882958,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aldo_Paredes_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aldo_Paredes_0002.jpg,70,73,107,107,70,69,113,113,0.6632460616808136,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aldo_Paredes_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aldo_Paredes_0002.jpg,70,73,107,107,70,73,107,107,4.440892098500626e-16,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aldo_Paredes_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Howard_Schultz_0002.jpg,67,67,116,116,70,73,107,107,0.628880471365298,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aldo_Paredes_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Robert_Redford_0007.jpg,69,68,117,117,70,73,107,107,0.6352195474779683,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aldo_Paredes_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Robert_Redford_0008.jpg,67,67,117,117,70,73,107,107,0.6476838475229398,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aldo_Paredes_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aldo_Paredes_0001.jpg,70,69,113,113,70,73,107,107,0.6632460616808136,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aldo_Paredes_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\John_Travolta_0005.jpg,74,71,105,105,70,73,107,107,0.6765195703602808,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aldo_Paredes_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\John_Travolta_0004.jpg,57,64,122,122,70,73,107,107,0.6781990766615461,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,65,67,119,119,65,67,119,119,-2.220446049250313e-16,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0002.jpg,66,68,116,116,65,67,119,119,0.5373124257439,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Tom_Daschle_0017.jpg,68,67,115,115,65,67,119,119,0.5522281674927404,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Tom_Daschle_0020.jpg,71,70,111,111,65,67,119,119,0.575526186706994,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Tom_Daschle_0012.jpg,63,65,119,119,65,67,119,119,0.5766080551188271,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Tom_Daschle_0009.jpg,68,71,116,116,65,67,119,119,0.5847875785014243,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Tom_Daschle_0014.jpg,68,67,113,113,65,67,119,119,0.5978605327564639,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Tom_Daschle_0010.jpg,73,70,106,106,65,67,119,119,0.5995814962098025,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Tom_Daschle_0011.jpg,68,66,119,119,65,67,119,119,0.6072584577652185,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Tom_Daschle_0022.jpg,68,67,114,114,65,67,119,119,0.6302975654113747,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Moshe_Katsav_0002.jpg,70,71,113,113,65,67,119,119,0.6312486042656387,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Bertie_Ahern_0005.jpg,68,67,117,117,65,67,119,119,0.6325380666724625,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Tom_Daschle_0025.jpg,62,64,124,124,65,67,119,119,0.6331758675118442,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Tom_Daschle_0024.jpg,70,68,112,112,65,67,119,119,0.6375987235980594,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\John_Snow_0001.jpg,68,69,116,116,65,67,119,119,0.638628249366561,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Gil_de_Ferran_0005.jpg,66,69,113,113,65,67,119,119,0.639563924385711,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Robert_Bullock_0001.jpg,66,68,115,115,65,67,119,119,0.6430471323318074,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Mohammed_Al-Douri_0008.jpg,66,67,119,119,65,67,119,119,0.6430982406565052,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\John_Snow_0004.jpg,72,71,110,110,65,67,119,119,0.6470357371610416,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Dennis_Kucinich_0001.jpg,70,69,111,111,65,67,119,119,0.6545758143397017,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Tom_Daschle_0021.jpg,71,71,109,109,65,67,119,119,0.6555242057866257,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Tom_Daschle_0003.jpg,69,67,113,113,65,67,119,119,0.6567995375422826,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0004.jpg,69,69,111,111,65,67,119,119,0.6587063035289296,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\John_Snow_0016.jpg,67,70,115,115,65,67,119,119,0.6596262292448951,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Richard_Armitage_0008.jpg,64,65,119,119,65,67,119,119,0.6618269599382036,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Tom_Daschle_0013.jpg,64,68,119,119,65,67,119,119,0.6644348421672046,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Tom_Daschle_0008.jpg,67,68,111,111,65,67,119,119,0.6660193963214849,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Tom_Daschle_0015.jpg,68,66,115,115,65,67,119,119,0.6663413638985136,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Mohammed_Al-Douri_0013.jpg,70,68,111,111,65,67,119,119,0.666524751230434,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Robert_Bullock_0002.jpg,56,52,140,140,65,67,119,119,0.6694494949497751,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Mohammed_Al-Douri_0004.jpg,71,69,115,115,65,67,119,119,0.6708738973764559,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\John_Snow_0009.jpg,64,66,120,120,65,67,119,119,0.6727744918963267,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\John_Snow_0008.jpg,68,67,116,116,65,67,119,119,0.673690794915079,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Tom_Daschle_0016.jpg,67,68,114,114,65,67,119,119,0.6740634210937035,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Mohamed_ElBaradei_0001.jpg,69,67,114,114,65,67,119,119,0.6767009135598283,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Gil_de_Ferran_0002.jpg,68,69,116,116,65,67,119,119,0.6785252657029017,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0002.jpg,66,68,116,116,66,68,116,116,2.220446049250313e-16,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0004.jpg,69,69,111,111,66,68,116,116,0.383970795292947,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0001.jpg,65,67,119,119,66,68,116,116,0.5373124257439,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Chris_Cooper_0001.jpg,66,64,120,120,66,68,116,116,0.6070881344717696,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Gil_de_Ferran_0005.jpg,66,69,113,113,66,68,116,116,0.6343808471584719,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Bertie_Ahern_0001.jpg,69,67,113,113,66,68,116,116,0.6438270030436182,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Bertie_Ahern_0005.jpg,68,67,117,117,66,68,116,116,0.6567223535083004,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0003.jpg,69,68,114,114,66,68,116,116,0.6596439292756637,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Karin_Stoiber_0001.jpg,69,67,118,118,66,68,116,116,0.6698367375977818,
